Model,Time
DenseNet201Model,320.5610649585724
DenseNet201Model,171.41717076301575
DenseNet201Model,188.01921153068545
DenseNet201Model,194.7870736122132
DenseNet201Model,230.95098519325256
InceptionResNetV2Model,209.95077848434448
InceptionResNetV2Model,298.72562527656555
InceptionResNetV2Model,185.31184101104736
InceptionResNetV2Model,193.0139741897583
InceptionResNetV2Model,212.2769496440888
MobileNetV2Model,74.0774142742157
MobileNetV2Model,63.86102724075317
MobileNetV2Model,94.60043239593506
MobileNetV2Model,65.82544422149658
MobileNetV2Model,73.89940428733826
ResNet50Model,210.4067370891571
ResNet50Model,341.83986592292786
ResNet50Model,251.3751163482666
ResNet50Model,340.991810798645
ResNet50Model,420.4764907360077
